"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","7/53","122/9396",0.0573770491803279,10.1719764924219,7.67984500422801,4.91855062278782e-06,0.000914850415838535,0.000595403496442736,"2534/5788/5295/5527/940/868/10000",7
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","6/53","149/9396",0.0402684563758389,7.13891351146005,5.68888785776764,0.00017857464364191,0.0158179727033959,0.0102946624838174,"2534/9267/5295/9265/10672/10000",6
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","7/53","226/9396",0.0309734513274336,5.49106695608616,5.14709559398916,0.000255128591990257,0.0158179727033959,0.0102946624838174,"483/5140/5144/5295/5500/814/10000",7
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","5/53","122/9396",0.040983606557377,7.26569749458707,5.2463703588388,0.000592800313474622,0.0253195186883056,0.0164784643415685,"2534/5295/5527/10672/10000",5
"Organismal Systems","Immune system","hsa04611","Platelet activation","5/53","126/9396",0.0396825396825397,7.03504043126685,5.136517144722,0.000686657728904494,0.0253195186883056,0.0164784643415685,"2534/5295/5500/10672/10000",5
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","5/53","138/9396",0.036231884057971,6.42329778506973,4.83378755354623,0.00103566570231724,0.0253195186883056,0.0164784643415685,"5140/5295/5500/868/10000",5
"Human Diseases","Infectious disease: viral","hsa05162","Measles","5/53","139/9396",0.0359712230215827,6.37708700963757,4.8101928114275,0.00106975911110058,0.0253195186883056,0.0164784643415685,"3303/5295/940/868/10000",5
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","4/53","81/9396",0.0493827160493827,8.75471698113208,5.27910359729698,0.00108901155648626,0.0253195186883056,0.0164784643415685,"3320/3303/567/3106",4
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/53","90/9396",0.0444444444444444,7.87924528301887,4.93882545586163,0.00161119626585684,0.0313901596291651,0.0204293625203961,"27436/5295/940/10000",4
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","5/53","154/9396",0.0324675324675325,5.75594217103651,4.48184771772353,0.00168764299081533,0.0313901596291651,0.0204293625203961,"483/1390/5500/5527/10000",5
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","5/53","166/9396",0.0301204819277108,5.33984996590134,4.24884669904294,0.00234529657186677,0.0396568329424745,0.0258094838052324,"483/5140/5500/10672/10000",5
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","4/53","103/9396",0.0388349514563107,6.88477743176406,4.52286722276888,0.00264161105561636,0.0400728392606791,0.026080229286803,"5500/26986/5527/2935",4
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","6/53","252/9396",0.0238095238095238,4.22102425876011,3.90363595932765,0.00280078984080015,0.0400728392606791,0.026080229286803,"3303/79720/3106/9267/9265/868",6
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","3/53","52/9396",0.0576923076923077,10.2278664731495,5.02550502065042,0.00308181417225761,0.0405796532377676,0.0264100742634028,"483/5295/10000",3
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","4/53","111/9396",0.036036036036036,6.38857725650178,4.30118182220624,0.00346170598176658,0.0405796532377676,0.0264100742634028,"3320/5140/5295/10000",4
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","5/53","182/9396",0.0274725274725275,4.87041260626166,3.97111083179268,0.00349072285916281,0.0405796532377676,0.0264100742634028,"567/3106/5295/5500/10000",5
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","4/53","116/9396",0.0344827586206897,6.11320754716981,4.17341507425144,0.00405395352965629,0.0443550209715335,0.0288671613566856,"2534/5295/814/10000",4
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","3/53","59/9396",0.0508474576271186,9.01439078989447,4.65088921077045,0.00440937946521163,0.0455635878071868,0.0296537215496689,"5140/5295/10000",3
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","3/53","62/9396",0.0483870967741935,8.57821059038344,4.50891209811478,0.00506921244270257,0.0478609401988044,0.0311488858113328,"3303/5295/10000",3
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","5/53","203/9396",0.0246305418719212,4.36657681940701,3.6521707192055,0.00554562499597137,0.0478609401988044,0.0311488858113328,"2534/9267/9265/7430/10672",5
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","5/53","204/9396",0.0245098039215686,4.34517203107658,3.63807531444948,0.00566097142136396,0.0478609401988044,0.0311488858113328,"567/3106/5295/864/10000",5
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","5/53","204/9396",0.0245098039215686,4.34517203107658,3.63807531444948,0.00566097142136396,0.0478609401988044,0.0311488858113328,"5295/5500/288/7430/10000",5
